Activity standard occupational classification,Mode of employment,Sex,Contract marker,Nationality,Academic Year,Number
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),European Union,2016/17,15
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),European Union,2017/18,15
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),European Union,2018/19,15
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),European Union,2019/20,15
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),European Union,2020/21,15
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),European Union,2016/17,5
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),European Union,2017/18,5
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),European Union,2018/19,0
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),European Union,2019/20,0
"Managers, directors and senior officials",Part-time,Female,Academic (excluding atypical),European Union,2020/21,0
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),European Union,2016/17,15
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),European Union,2017/18,15
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),European Union,2018/19,15
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),European Union,2019/20,10
"Managers, directors and senior officials",Full-time,Male,Academic (excluding atypical),European Union,2020/21,15
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),European Union,2016/17,5
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),European Union,2017/18,0
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),European Union,2018/19,5
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),European Union,2019/20,0
"Managers, directors and senior officials",Part-time,Male,Academic (excluding atypical),European Union,2020/21,5
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),European Union,2016/17,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),European Union,2017/18,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),European Union,2018/19,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),European Union,2019/20,0
"Managers, directors and senior officials",Part-time,Other,Academic (excluding atypical),European Union,2020/21,0
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Non-European Union,2016/17,5
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Non-European Union,2017/18,10
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Non-European Union,2018/19,10
"Managers, directors and senior officials",Full-time,Female,Academic (excluding atypical),Non-European Union,2019/20,5
